Company,Industry,Region,Founded_Year,Year,Revenue_USD,Expenses_USD,Profit_USD,Churn_Rate,Customer_Count,ARPU_USD,Market_Share_Percent
Randall-Fletcher,AI/ML,Australia,2007,2024,154651501.63,107872243.01,46779258.62,0.1355,22518,6867.91,1.75
Ramirez-Jackson,Cybersecurity,North America,2012,2020,41940402.06,35997675.17,5942726.89,0.1241,46151,908.76,10.46
Ramirez-Jackson,Cybersecurity,North America,2012,2021,29587627.97,21947124.61,7640503.36,0.1396,34827,849.56,14.15
Ramirez-Jackson,Cybersecurity,North America,2012,2022,120575362.36,93797259.21,26778103.16,0.2213,44689,2698.1,12.14
Ramirez-Jackson,Cybersecurity,North America,2012,2023,127413943.79,108121464.16,19292479.63,0.2029,4627,27537.05,6.31
Ramirez-Jackson,Cybersecurity,North America,2012,2024,176889491.27,111394035.94,65495455.33,0.0393,22976,7698.88,4.84
"Marsh, Leonard and Bell",FinTech,Asia,2000,2020,55882185.38,42418828.44,13463356.94,0.0101,10474,5335.32,0.2
"Marsh, Leonard and Bell",FinTech,Asia,2000,2021,103127965.91,68782682.04,34345283.87,0.0633,33562,3072.76,4.11
"Marsh, Leonard and Bell",FinTech,Asia,2000,2022,50336853.41,28556923.31,21779930.09,0.0625,4304,11695.37,6.12
"Marsh, Leonard and Bell",FinTech,Asia,2000,2023,14848664.93,8932454.42,5916210.5,0.0693,45417,326.94,10.71
"Marsh, Leonard and Bell",FinTech,Asia,2000,2024,31321212.13,28160782.62,3160429.51,0.074,29673,1055.55,7.59
"Ramirez, Hayes and Reyes",CRM,South America,2004,2020,70324107.11,53006130.32,17317976.79,0.1734,22556,3117.76,7.39
"Ramirez, Hayes and Reyes",CRM,South America,2004,2021,197158789.91,117668724.73,79490065.19,0.1713,33970,5803.91,5.61
"Ramirez, Hayes and Reyes",CRM,South America,2004,2022,49947667.78,41019816.98,8927850.8,0.1229,41545,1202.25,9.54
"Ramirez, Hayes and Reyes",CRM,South America,2004,2023,108083387.45,57945223.4,50138164.04,0.2105,43107,2507.33,7.67
"Ramirez, Hayes and Reyes",CRM,South America,2004,2024,139770935.74,117874913.21,21896022.53,0.0882,48011,2911.23,0.35
Duncan and Sons,Cybersecurity,South America,2002,2020,162281207.14,103773378.49,58507828.65,0.0331,9680,16764.59,10.39
Duncan and Sons,Cybersecurity,South America,2002,2021,78573598.57,68727697.72,9845900.84,0.043,9155,8582.59,11.05
Duncan and Sons,Cybersecurity,South America,2002,2022,43396180.91,31096800.14,12299380.76,0.177,17646,2459.26,9.93
Duncan and Sons,Cybersecurity,South America,2002,2023,163809995.64,118283974.83,45526020.81,0.1371,3049,53725.81,14.94
Duncan and Sons,Cybersecurity,South America,2002,2024,193153031.56,139710945.0,53442086.55,0.2218,8158,23676.52,5.15
"Reed, Hunter and Jackson",EdTech,North America,2002,2020,140670850.33,117975642.3,22695208.04,0.2155,13183,10670.63,12.78
"Reed, Hunter and Jackson",EdTech,North America,2002,2021,187255728.86,152451678.84,34804050.02,0.1706,49354,3794.13,5.65
"Reed, Hunter and Jackson",EdTech,North America,2002,2022,188146421.61,167349757.5,20796664.11,0.0781,22357,8415.55,8.28
"Reed, Hunter and Jackson",EdTech,North America,2002,2023,138995249.14,105745431.65,33249817.49,0.0638,25736,5400.81,0.37
"Reed, Hunter and Jackson",EdTech,North America,2002,2024,99790955.61,57033433.42,42757522.19,0.098,47214,2113.59,10.84
Roberts-Flowers,CRM,Australia,2000,2020,109422965.65,76981860.93,32441104.72,0.1627,18429,5937.54,3.74
Roberts-Flowers,CRM,Australia,2000,2021,194656089.84,127935591.32,66720498.52,0.2241,20738,9386.44,6.57
Roberts-Flowers,CRM,Australia,2000,2022,71315524.72,54060116.27,17255408.46,0.1705,6600,10805.38,3.01
Roberts-Flowers,CRM,Australia,2000,2023,145045518.82,88812668.6,56232850.22,0.0158,45080,3217.51,0.75
Roberts-Flowers,CRM,Australia,2000,2024,198921001.14,136853233.85,62067767.29,0.0771,44525,4467.62,5.62
Burke-Strong,E-Commerce,Asia,2008,2020,190708225.71,120584834.36,70123391.35,0.1427,1699,112247.34,12.81
Burke-Strong,E-Commerce,Asia,2008,2021,60300880.63,39439133.18,20861747.45,0.2143,20778,2902.15,2.63
Burke-Strong,E-Commerce,Asia,2008,2022,112246649.97,98155419.88,14091230.08,0.177,35663,3147.43,1.15
Burke-Strong,E-Commerce,Asia,2008,2023,43365906.09,33324851.73,10041054.36,0.0961,17538,2472.68,4.5
Burke-Strong,E-Commerce,Asia,2008,2024,65865051.32,55291597.5,10573453.82,0.0428,13533,4867.0,5.46
"Smith, Smith and Juarez",Cybersecurity,South America,2009,2020,162253508.78,133704250.71,28549258.07,0.2181,9716,16699.62,1.32
"Smith, Smith and Juarez",Cybersecurity,South America,2009,2021,3026602.83,2273456.22,753146.61,0.0566,13039,232.12,10.56
"Smith, Smith and Juarez",Cybersecurity,South America,2009,2022,159566948.55,136589648.91,22977299.64,0.0911,14403,11078.73,8.73
"Smith, Smith and Juarez",Cybersecurity,South America,2009,2023,88817876.36,68284111.86,20533764.5,0.0888,23677,3751.23,8.9
"Smith, Smith and Juarez",Cybersecurity,South America,2009,2024,8039049.49,4139622.32,3899427.17,0.2074,30749,261.44,8.1
Page PLC,HealthTech,Australia,2004,2020,105404165.49,85166293.9,20237871.59,0.0618,22606,4662.66,1.37
Page PLC,HealthTech,Australia,2004,2021,12232980.79,8716510.8,3516470.0,0.1398,40734,300.31,2.16
Page PLC,HealthTech,Australia,2004,2022,28283593.6,25110591.5,3173002.11,0.1815,27258,1037.63,11.95
Page PLC,HealthTech,Australia,2004,2023,55624785.75,37579469.37,18045316.38,0.0288,26316,2113.72,2.85
Page PLC,HealthTech,Australia,2004,2024,18012847.39,12092489.0,5920358.39,0.1752,2081,8655.86,13.74
Randolph-Robertson,CRM,Europe,2014,2020,51548093.84,37098681.98,14449411.86,0.1815,46543,1107.54,14.03
Randolph-Robertson,CRM,Europe,2014,2021,128377577.58,90721674.34,37655903.24,0.1677,17964,7146.38,9.21
Randolph-Robertson,CRM,Europe,2014,2022,85080812.36,50971267.71,34109544.65,0.0954,14284,5956.37,1.89
Randolph-Robertson,CRM,Europe,2014,2023,69692174.01,37405157.59,32287016.42,0.0326,31445,2216.32,14.69
Randolph-Robertson,CRM,Europe,2014,2024,36715393.44,18609727.36,18105666.08,0.1932,30222,1214.86,5.26
Webster-Terry,AI/ML,South America,2004,2020,80903937.41,60381847.82,20522089.59,0.1624,3849,21019.47,3.99
Webster-Terry,AI/ML,South America,2004,2021,5030298.98,4393334.97,636964.01,0.1302,42975,117.05,9.91
Webster-Terry,AI/ML,South America,2004,2022,34261016.56,18097611.09,16163405.47,0.1642,30168,1135.67,13.02
Webster-Terry,AI/ML,South America,2004,2023,128007912.29,105015094.97,22992817.32,0.1725,12938,9893.95,9.68
Webster-Terry,AI/ML,South America,2004,2024,92734072.32,66605942.88,26128129.44,0.236,41770,2220.11,12.32
Bradford PLC,HealthTech,Asia,2007,2020,181259427.11,104825309.12,76434117.98,0.0266,39494,4589.54,5.72
Bradford PLC,HealthTech,Asia,2007,2021,9714700.2,7259810.55,2454889.65,0.0908,29761,326.42,4.85
Bradford PLC,HealthTech,Asia,2007,2022,169285311.57,86218494.54,83066817.03,0.2055,42576,3976.07,7.49
Bradford PLC,HealthTech,Asia,2007,2023,139192291.02,88990453.52,50201837.5,0.2348,8543,16293.14,11.05
Bradford PLC,HealthTech,Asia,2007,2024,161089224.22,98717704.31,62371519.91,0.0526,19888,8099.82,8.57
Wilson and Sons,EdTech,Australia,2002,2020,198120018.12,131759137.71,66360880.41,0.0993,35911,5516.97,5.18
Wilson and Sons,EdTech,Australia,2002,2021,186289950.47,157110442.84,29179507.63,0.113,6644,28038.82,11.12
Wilson and Sons,EdTech,Australia,2002,2022,49170758.18,32014665.38,17156092.8,0.1382,42555,1155.46,12.41
Wilson and Sons,EdTech,Australia,2002,2023,65369821.0,56100987.76,9268833.24,0.1034,17779,3676.8,14.38
Wilson and Sons,EdTech,Australia,2002,2024,169734342.53,108963010.93,60771331.6,0.2396,33307,5096.06,8.64
"Liu, Taylor and Fitzpatrick",HealthTech,South America,2014,2020,18490313.42,9923412.08,8566901.34,0.1546,32667,566.02,10.12
"Liu, Taylor and Fitzpatrick",HealthTech,South America,2014,2021,150970156.83,123287003.36,27683153.46,0.1995,19540,7726.21,13.97
"Liu, Taylor and Fitzpatrick",HealthTech,South America,2014,2022,194901145.29,175093828.53,19807316.76,0.0234,24714,7886.26,13.33
"Liu, Taylor and Fitzpatrick",HealthTech,South America,2014,2023,71481172.49,39087821.28,32393351.21,0.0443,24625,2902.79,12.57
"Liu, Taylor and Fitzpatrick",HealthTech,South America,2014,2024,173640003.65,145057522.98,28582480.67,0.1123,40081,4332.23,6.01
Long LLC,HealthTech,North America,2001,2020,18107058.57,9667993.87,8439064.7,0.2468,14807,1222.87,12.96
Long LLC,HealthTech,North America,2001,2021,176311273.79,104847744.09,71463529.7,0.2278,2324,75865.44,11.33
Long LLC,HealthTech,North America,2001,2022,76499397.94,40804800.79,35694597.15,0.1965,39069,1958.06,10.61
Long LLC,HealthTech,North America,2001,2023,51247382.58,32393522.37,18853860.21,0.1143,21652,2366.87,0.27
Long LLC,HealthTech,North America,2001,2024,94794807.11,49532306.82,45262500.29,0.0385,14116,6715.42,12.36
Jackson-Wood,AI/ML,South America,2006,2020,149716886.09,109794505.03,39922381.07,0.2409,34982,4279.83,7.22
Jackson-Wood,AI/ML,South America,2006,2021,18412481.7,13097682.92,5314798.77,0.1147,3105,5929.95,0.28
Jackson-Wood,AI/ML,South America,2006,2022,194036007.69,100367834.65,93668173.04,0.2239,28509,6806.13,13.88
Jackson-Wood,AI/ML,South America,2006,2023,183984911.63,110611005.29,73373906.33,0.1769,45472,4046.11,7.89
Jackson-Wood,AI/ML,South America,2006,2024,126620930.35,98549003.69,28071926.66,0.1191,43356,2920.49,10.48
"Merritt, Hill and Brandt",HealthTech,Europe,2002,2020,180429286.08,93494586.22,86934699.85,0.0774,11975,15067.16,0.96
"Merritt, Hill and Brandt",HealthTech,Europe,2002,2021,80115316.12,43478776.45,36636539.67,0.0906,10337,7750.34,2.9
"Merritt, Hill and Brandt",HealthTech,Europe,2002,2022,93812284.18,60165653.94,33646630.24,0.1501,28355,3308.49,5.47
"Merritt, Hill and Brandt",HealthTech,Europe,2002,2023,53470072.85,36428964.86,17041107.98,0.0178,39088,1367.94,4.71
"Merritt, Hill and Brandt",HealthTech,Europe,2002,2024,163131413.9,126246172.68,36885241.22,0.049,35349,4614.88,1.24
"Smith, Martinez and Bauer",HealthTech,Europe,2005,2020,190060382.83,150202402.45,39857980.38,0.1572,1009,188365.1,14.0
"Smith, Martinez and Bauer",HealthTech,Europe,2005,2021,173480650.12,89878150.78,83602499.35,0.0163,28712,6042.1,7.26
"Smith, Martinez and Bauer",HealthTech,Europe,2005,2022,197086638.03,128243405.82,68843232.22,0.1899,21309,9248.99,12.45
"Smith, Martinez and Bauer",HealthTech,Europe,2005,2023,114678130.89,60252432.61,54425698.28,0.0188,9702,11820.05,4.17
"Smith, Martinez and Bauer",HealthTech,Europe,2005,2024,13162348.34,11133885.02,2028463.32,0.2051,33606,391.67,11.27
Williams Inc,AI/ML,Asia,2002,2020,111975477.71,90430832.12,21544645.59,0.2367,33201,3372.65,5.73
Williams Inc,AI/ML,Asia,2002,2021,49734796.8,28946553.5,20788243.3,0.0703,18100,2747.78,3.19
Williams Inc,AI/ML,Asia,2002,2022,175887692.16,141202578.21,34685113.95,0.0213,48198,3649.27,1.79
Williams Inc,AI/ML,Asia,2002,2023,134971492.73,95576429.19,39395063.54,0.1954,29538,4569.42,4.69
Williams Inc,AI/ML,Asia,2002,2024,163644375.57,145183572.75,18460802.82,0.0312,38626,4236.64,6.11
Roberts-Miller,FinTech,North America,2015,2020,97049101.47,64849598.52,32199502.95,0.1983,13173,7367.27,10.59
Roberts-Miller,FinTech,North America,2015,2021,44166903.98,24492694.34,19674209.64,0.0135,7949,5556.28,9.16
Roberts-Miller,FinTech,North America,2015,2022,128055575.68,92446680.7,35608894.98,0.0318,11209,11424.35,5.29
Roberts-Miller,FinTech,North America,2015,2023,103769918.85,84412803.24,19357115.61,0.1052,5854,17726.33,7.9
Roberts-Miller,FinTech,North America,2015,2024,140133090.56,114711365.86,25421724.69,0.1202,20856,6719.08,7.43
Floyd Group,FinTech,North America,2019,2020,92908879.74,82875931.34,10032948.4,0.1282,5300,17529.98,3.22
Floyd Group,FinTech,North America,2019,2021,116770687.03,74339171.81,42431515.21,0.1389,25214,4631.18,2.01
Floyd Group,FinTech,North America,2019,2022,32076733.32,17819615.54,14257117.78,0.1638,46415,691.09,10.48
Floyd Group,FinTech,North America,2019,2023,83508920.44,70959787.94,12549132.5,0.1337,11161,7482.21,9.07
Floyd Group,FinTech,North America,2019,2024,46322115.05,38387889.7,7934225.35,0.0928,38545,1201.77,2.74
"Terrell, Mclaughlin and Mason",EdTech,Australia,2005,2020,25885902.48,17714020.94,8171881.54,0.0595,43928,589.28,7.6
"Terrell, Mclaughlin and Mason",EdTech,Australia,2005,2021,138698176.07,71530096.87,67168079.2,0.2019,6240,22227.27,10.35
"Terrell, Mclaughlin and Mason",EdTech,Australia,2005,2022,103308088.68,58140870.09,45167218.59,0.1005,5432,19018.43,4.23
"Terrell, Mclaughlin and Mason",EdTech,Australia,2005,2023,161627853.4,129189769.72,32438083.68,0.0543,1302,124138.14,5.62
"Terrell, Mclaughlin and Mason",EdTech,Australia,2005,2024,97935551.07,73187424.23,24748126.83,0.0985,45247,2164.47,10.84
Morris-Carey,Cybersecurity,Europe,2013,2020,31252340.2,17290256.31,13962083.88,0.1749,18302,1707.59,7.72
Morris-Carey,Cybersecurity,Europe,2013,2021,107358470.08,58281564.31,49076905.77,0.1174,40650,2641.04,6.02
Morris-Carey,Cybersecurity,Europe,2013,2022,22764094.97,18096592.34,4667502.63,0.0537,2062,11039.81,4.9
Morris-Carey,Cybersecurity,Europe,2013,2023,43866705.39,27679844.64,16186860.75,0.0387,40056,1095.13,5.21
Morris-Carey,Cybersecurity,Europe,2013,2024,95846048.4,61537161.9,34308886.51,0.1657,27734,3455.9,8.8
Livingston LLC,EdTech,North America,2001,2020,112432968.66,82594852.39,29838116.27,0.1455,16913,6647.72,4.33
Livingston LLC,EdTech,North America,2001,2021,73890294.69,56035953.47,17854341.22,0.147,11167,6616.84,7.52
Livingston LLC,EdTech,North America,2001,2022,67408999.29,58880192.24,8528807.05,0.0118,27900,2416.09,2.38
Livingston LLC,EdTech,North America,2001,2023,50699630.22,28608409.59,22091220.63,0.0548,11589,4374.81,2.68
Livingston LLC,EdTech,North America,2001,2024,179559554.08,95542471.28,84017082.8,0.1359,5324,33726.44,14.74
Foster-Miller,HealthTech,North America,2005,2020,80775408.61,71711452.46,9063956.15,0.2177,42605,1895.91,14.63
Foster-Miller,HealthTech,North America,2005,2021,99168258.29,78259467.88,20908790.42,0.207,1846,53720.62,8.07
Foster-Miller,HealthTech,North America,2005,2022,96370657.86,80511230.07,15859427.79,0.0592,31105,3098.24,4.92
Foster-Miller,HealthTech,North America,2005,2023,86236414.85,60628007.1,25608407.74,0.0682,3048,28292.79,9.2
Foster-Miller,HealthTech,North America,2005,2024,59148849.54,43326253.61,15822595.93,0.047,40756,1451.29,8.04
Turner-Waller,AI/ML,Asia,2000,2020,75107635.34,51201414.95,23906220.39,0.1417,10865,6912.81,14.85
Turner-Waller,AI/ML,Asia,2000,2021,65826061.3,54237368.62,11588692.68,0.0711,44336,1484.71,11.43
Turner-Waller,AI/ML,Asia,2000,2022,119936470.64,82591908.8,37344561.84,0.1088,29253,4099.97,1.69
Turner-Waller,AI/ML,Asia,2000,2023,170444037.08,136080782.42,34363254.66,0.108,2908,58612.12,10.99
Turner-Waller,AI/ML,Asia,2000,2024,187791410.45,107509310.47,80282099.98,0.026,6415,29273.8,10.85
Williams-Vaughn,EdTech,South America,2007,2020,165932295.66,132779150.74,33153144.92,0.2019,22204,7473.08,2.88
Williams-Vaughn,EdTech,South America,2007,2021,48666965.72,36670725.38,11996240.34,0.2279,17984,2706.13,13.17
Williams-Vaughn,EdTech,South America,2007,2022,79704131.27,65886605.2,13817526.07,0.1154,29173,2732.12,13.51
Williams-Vaughn,EdTech,South America,2007,2023,125572105.75,89898630.71,35673475.04,0.1153,10184,12330.33,3.56
Williams-Vaughn,EdTech,South America,2007,2024,180115765.51,117715827.24,62399938.27,0.1405,37455,4808.86,3.51
Richardson-Stewart,EdTech,Europe,2006,2020,25145812.06,22026042.81,3119769.25,0.1606,25519,985.38,10.44
Richardson-Stewart,EdTech,Europe,2006,2021,35012690.48,29811612.94,5201077.53,0.1289,26053,1343.9,13.42
Richardson-Stewart,EdTech,Europe,2006,2022,158142247.82,88665606.48,69476641.34,0.0848,33154,4769.93,11.18
Richardson-Stewart,EdTech,Europe,2006,2023,8639422.08,6289118.05,2350304.03,0.193,47714,181.07,11.34
Richardson-Stewart,EdTech,Europe,2006,2024,22377374.09,15990704.6,6386669.49,0.1009,7359,3040.82,9.1
Morton-Moreno,E-Commerce,North America,2014,2020,159864482.42,89518829.98,70345652.44,0.065,36659,4360.85,11.6
Morton-Moreno,E-Commerce,North America,2014,2021,4416208.32,3265243.21,1150965.11,0.1457,34561,127.78,3.85
Morton-Moreno,E-Commerce,North America,2014,2022,70447806.71,40341167.7,30106639.02,0.228,11789,5975.72,3.49
Morton-Moreno,E-Commerce,North America,2014,2023,85872178.76,52826146.78,33046031.98,0.1576,11457,7495.17,8.83
Morton-Moreno,E-Commerce,North America,2014,2024,102165958.42,76070902.41,26095056.01,0.0143,34595,2953.2,8.94
Bender PLC,E-Commerce,North America,2011,2020,113896370.35,88686585.27,25209785.08,0.2314,39727,2866.98,9.81
Bender PLC,E-Commerce,North America,2011,2021,154706840.37,100524505.37,54182335.0,0.0265,21530,7185.64,11.07
Bender PLC,E-Commerce,North America,2011,2022,187004668.92,162736587.79,24268081.13,0.1182,12053,15515.2,3.61
Bender PLC,E-Commerce,North America,2011,2023,34773061.05,19978109.45,14794951.6,0.211,36840,943.89,13.06
Bender PLC,E-Commerce,North America,2011,2024,104729935.31,77134662.91,27595272.4,0.1058,10524,9951.53,5.09
White Group,E-Commerce,Australia,2019,2020,157982397.97,117142149.1,40840248.87,0.0374,35393,4463.66,13.81
White Group,E-Commerce,Australia,2019,2021,70576506.88,45082951.46,25493555.43,0.187,37368,1888.69,8.85
White Group,E-Commerce,Australia,2019,2022,8503640.71,7356497.75,1147142.96,0.0696,46080,184.54,7.53
White Group,E-Commerce,Australia,2019,2023,84947239.0,73559072.86,11388166.14,0.097,29734,2856.91,4.24
White Group,E-Commerce,Australia,2019,2024,45579248.39,26667156.31,18912092.08,0.1336,5944,7668.11,14.42
Jenkins-Mosley,AI/ML,Asia,2016,2020,112346463.04,94848816.8,17497646.24,0.1384,21806,5152.09,8.97
Jenkins-Mosley,AI/ML,Asia,2016,2021,15281142.52,12224672.4,3056470.13,0.0604,28965,527.57,3.16
Jenkins-Mosley,AI/ML,Asia,2016,2022,39756168.69,20459314.25,19296854.44,0.1233,29071,1367.55,8.85
Jenkins-Mosley,AI/ML,Asia,2016,2023,60220846.49,47310923.02,12909923.46,0.1366,7645,7877.15,6.67
Jenkins-Mosley,AI/ML,Asia,2016,2024,81351086.05,58886482.53,22464603.53,0.0473,13342,6097.37,14.2
Good-Jackson,E-Commerce,North America,2009,2020,55607445.28,42128190.39,13479254.9,0.1081,48190,1153.92,14.69
Good-Jackson,E-Commerce,North America,2009,2021,168278194.17,142497554.8,25780639.37,0.1079,46368,3629.19,3.41
Good-Jackson,E-Commerce,North America,2009,2022,47752809.72,36710311.4,11042498.33,0.0147,32480,1470.22,12.02
Good-Jackson,E-Commerce,North America,2009,2023,37351843.09,28428429.62,8923413.46,0.0672,8970,4164.09,3.72
Good-Jackson,E-Commerce,North America,2009,2024,145008852.51,122137851.43,22871001.08,0.2093,42124,3442.43,2.2
"Cox, Rodgers and Green",E-Commerce,Asia,2013,2020,60043250.59,51549191.76,8494058.83,0.0131,17032,3525.32,3.2
"Cox, Rodgers and Green",E-Commerce,Asia,2013,2021,7253376.37,4153095.98,3100280.38,0.1499,32419,223.74,10.59
"Cox, Rodgers and Green",E-Commerce,Asia,2013,2022,182303552.7,136710256.07,45593296.63,0.0906,16358,11144.61,5.76
"Cox, Rodgers and Green",E-Commerce,Asia,2013,2023,118878398.62,72185989.85,46692408.77,0.1598,14221,8359.36,11.63
"Cox, Rodgers and Green",E-Commerce,Asia,2013,2024,73826063.14,62340736.38,11485326.77,0.0627,44861,1645.66,11.72
"Woods, Christensen and Fischer",E-Commerce,North America,2016,2020,173956659.23,120895090.75,53061568.47,0.2247,21607,8050.94,2.81
"Woods, Christensen and Fischer",E-Commerce,North America,2016,2021,97986116.7,69078552.62,28907564.08,0.188,37801,2592.16,9.54
"Woods, Christensen and Fischer",E-Commerce,North America,2016,2022,53061761.72,29488672.38,23573089.34,0.2104,42401,1251.43,13.52
"Woods, Christensen and Fischer",E-Commerce,North America,2016,2023,138861927.81,107378254.84,31483672.96,0.2074,27665,5019.41,8.69
"Woods, Christensen and Fischer",E-Commerce,North America,2016,2024,56262933.7,40603338.93,15659594.76,0.1663,13875,4054.99,3.18
Salas-Black,Cybersecurity,North America,2009,2020,29723670.65,17996895.53,11726775.12,0.074,30402,977.69,9.0
Salas-Black,Cybersecurity,North America,2009,2021,120902338.37,92612964.8,28289373.56,0.0521,12664,9546.93,6.34
Salas-Black,Cybersecurity,North America,2009,2022,77861428.59,55092183.84,22769244.75,0.0213,36835,2113.79,14.38
Salas-Black,Cybersecurity,North America,2009,2023,38505442.29,20644107.0,17861335.3,0.195,25063,1536.35,13.74
Salas-Black,Cybersecurity,North America,2009,2024,144863506.5,107801897.43,37061609.07,0.2378,24150,5998.49,14.32
Levy Group,Cybersecurity,Australia,2004,2020,97783478.5,59448882.54,38334595.97,0.1396,49594,1971.68,8.97
Levy Group,Cybersecurity,Australia,2004,2021,12182311.07,8509910.75,3672400.32,0.1532,1481,8225.73,9.39
Levy Group,Cybersecurity,Australia,2004,2022,95898987.12,61159914.0,34739073.13,0.0944,35008,2739.34,10.6
Levy Group,Cybersecurity,Australia,2004,2023,120460639.54,82379731.37,38080908.16,0.0282,29145,4133.15,12.01
Levy Group,Cybersecurity,Australia,2004,2024,139549901.23,84966081.42,54583819.81,0.1517,27212,5128.25,1.46
"Brennan, Henry and Estrada",AI/ML,Australia,2016,2020,29090088.92,25602040.11,3488048.81,0.117,21491,1353.59,8.17
"Brennan, Henry and Estrada",AI/ML,Australia,2016,2021,174843275.5,138631476.77,36211798.73,0.2036,2750,63579.37,10.89
"Brennan, Henry and Estrada",AI/ML,Australia,2016,2022,128171852.8,114358864.52,13812988.28,0.2268,12918,9921.96,10.43
"Brennan, Henry and Estrada",AI/ML,Australia,2016,2023,12215969.72,9381461.44,2834508.27,0.0206,30711,397.77,13.89
"Brennan, Henry and Estrada",AI/ML,Australia,2016,2024,37753918.34,27453822.31,10300096.03,0.2297,45813,824.09,1.9
"Villanueva, Ross and Parrish",CRM,Australia,2006,2020,60875103.46,52946637.34,7928466.12,0.2431,30398,2002.6,11.95
"Villanueva, Ross and Parrish",CRM,Australia,2006,2021,149522780.53,78043870.72,71478909.81,0.1192,18850,7932.24,12.45
"Villanueva, Ross and Parrish",CRM,Australia,2006,2022,9327511.67,6888441.54,2439070.14,0.0652,31907,292.33,7.27
"Villanueva, Ross and Parrish",CRM,Australia,2006,2023,177229674.59,126206324.06,51023350.53,0.1158,24510,7230.91,1.07
"Villanueva, Ross and Parrish",CRM,Australia,2006,2024,64427486.89,46116970.71,18310516.18,0.1998,8564,7523.06,9.43
May LLC,CRM,Asia,2015,2020,86509777.22,73590939.22,12918838.0,0.1102,1545,55993.38,0.42
May LLC,CRM,Asia,2015,2021,175190931.19,124661461.22,50529469.97,0.2354,4810,36422.23,1.14
May LLC,CRM,Asia,2015,2022,3878115.86,2020783.54,1857332.32,0.0313,9436,410.99,7.25
May LLC,CRM,Asia,2015,2023,116989927.03,71208819.08,45781107.95,0.1056,40837,2864.8,6.32
May LLC,CRM,Asia,2015,2024,85428686.45,67918618.1,17510068.36,0.0673,3050,28009.41,7.06
"Meyer, Wilson and Wang",AI/ML,North America,2017,2020,60669007.85,36003604.12,24665403.73,0.0201,26280,2308.56,13.66
"Meyer, Wilson and Wang",AI/ML,North America,2017,2021,10929934.09,5943556.5,4986377.59,0.104,10155,1076.31,3.35
"Meyer, Wilson and Wang",AI/ML,North America,2017,2022,190092314.42,154837414.7,35254899.72,0.0315,38573,4928.12,14.74
"Meyer, Wilson and Wang",AI/ML,North America,2017,2023,177071397.67,131089387.09,45982010.58,0.2269,15561,11379.18,2.59
"Meyer, Wilson and Wang",AI/ML,North America,2017,2024,198251387.98,117497388.53,80753999.45,0.2363,16934,11707.3,3.54
Patterson-Thornton,FinTech,Asia,2018,2020,103512325.18,61307030.01,42205295.17,0.0524,18320,5650.24,2.88
Patterson-Thornton,FinTech,Asia,2018,2021,156357725.77,100076778.59,56280947.18,0.0239,8214,19035.52,3.32
